Wall time,Step,Value
1729076712.1883812,873,500.0
1729076717.552945,874,196.0
1729076744.3379922,876,262.0
1729076883.1077518,877,9.0
1729076894.0570483,878,315.0
1729076903.3059847,879,127.0
1729076943.5964189,880,975.0
1729077098.3936338,881,816.0
1729077110.6065228,882,411.0
1729077120.2177362,883,337.0
1729077125.845566,884,195.0
1729077269.5186913,885,1058.0
1729077302.5938897,887,317.0
1729077340.5211108,888,791.0
1729077487.7940004,889,471.0
1729077523.146893,890,583.0
1729077527.5248992,891,132.0
1729077547.2461607,892,79.0
1729077687.8604434,893,138.0
1729077698.3555467,894,378.0
1729077727.6717145,895,1098.0
1729077739.6727028,896,418.0
1729077873.1758487,897,239.0
1729077922.6053169,898,1800.0
1729077932.6590812,899,333.0
1729077942.691067,900,358.0
1729078104.9814022,901,1431.0
1729078118.3930051,902,438.0
1729078154.832044,903,672.0
1729078328.3715322,905,814.0
1729078336.7084978,906,283.0
1729078368.2549813,907,1162.0
1729078377.840738,908,334.0
1729078534.5199392,909,931.0
1729078540.9719055,910,199.0
1729078578.7863038,911,768.0
1729078596.6707027,912,638.0
1729078773.1946123,913,1287.0
1729078778.4170675,914,179.0
1729078808.4642975,915,109.0
1729078844.1358702,916,1309.0
1729079060.4045866,918,511.0
1729079105.5230806,919,1306.0
1729079124.7323844,920,247.0
1729079296.8141139,921,400.0
1729079372.527944,923,1030.0
1729079386.4437096,924,438.0
1729079551.3570585,925,131.0
1729079566.8629825,926,585.0
1729079605.2348998,927,869.0
1729079642.6944082,928,749.0
1729079865.9715328,930,549.0
1729079904.675621,931,1408.0
1729080108.4570394,933,526.0
1729080147.973757,934,923.0
1729080155.1013477,935,223.0
1729080179.4570339,936,900.0
1729080366.9753451,937,741.0
1729080401.5673025,938,1252.0
1729080474.4164507,940,958.0
1729080675.2833734,942,372.0
1729080751.525826,944,1774.0
1729080951.7442467,945,735.0
1729080964.283396,946,341.0
1729080995.4215024,947,1075.0
1729081004.563762,948,327.0
1729081178.7405183,950,591.0
1729081187.6351192,951,317.0
1729081193.7140126,952,221.0
1729081407.023448,954,1597.0
1729081455.7561822,955,1665.0
1729081491.8328514,956,1009.0
1729081651.361343,957,248.0
1729081707.537988,959,1110.0
1729081717.4264064,960,308.0
1729081929.2250714,961,2146.0
1729081932.0179927,962,96.0
1729081964.584489,963,471.0
1729081994.1462343,964,809.0
1729082162.986953,965,742.0
1729082198.316705,966,1383.0
1729082233.1693969,967,434.0
1729082248.0319407,968,601.0
1729082414.5608082,969,271.0
1729082421.284797,970,239.0
1729082495.1697052,972,1770.0
1729082692.6310167,974,781.0
1729082718.8008335,975,319.0
1729082895.120713,977,579.0
1729082899.7597857,978,173.0
1729082919.8770297,979,763.0
1729082948.0690923,980,1121.0
1729083100.3158262,981,344.0
1729083104.28117,982,158.0
1729083111.7819984,983,297.0
1729083135.5263133,984,978.0
1729083288.2483246,985,508.0
1729083296.1428459,986,304.0
1729083306.031302,987,387.0
1729083337.363328,988,269.0
1729083535.0616179,990,718.0
1729083545.6898851,991,413.0
1729083578.7235398,992,913.0
1729083787.3484964,993,2051.0
1729083810.7001626,994,923.0
1729083864.1489742,995,2212.0
1729084047.4674518,997,212.0
1729084105.4612362,999,710.0
1729084126.9448254,1000,871.0
1729084328.8015902,1002,995.0
1729084380.4417853,1003,1792.0
1729084387.5682995,1004,262.0
1729084572.5438104,1005,894.0
